title,doctor_url,specialization,kraj,okres
"SVaLZ, fyzioterapia, Nitrianske Hrnčiarovce, (Winmed centrum s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-fyzioterapia-nitrianske-hrnciarovce-winmed-centrum.html?page_id=143287, Fyzioterapia,Nitriansky,Nitra
"Neurologická ambulancia, Nitra, (JESSENIUS - diagnostické centrum, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/neurologicka-ambulancia-nitra-jessenius-diagnosticke-centrum-a.s.-1.html?page_id=143190, Neurológia,Nitriansky,Nitra
"SVaLZ, rádiológia, Nitra, (JESSENIUS - diagnostické centrum, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-radiologia-nitra-jessenius-diagnosticke-centrum-a.s.-10.html?page_id=143191," Rádiológia, Počítačová tomografia - CT, Mamografia, Osteodenzitometria, Sonografia",Nitriansky,Nitra
"Neurologická ambulancia, Nitra, (Diagnosticko-terapeutické centrum Largus, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/neurologicka-ambulancia-nitra-diagnosticko-terapeuticke-centrum-largus-a.s.-1.html?page_id=143179, Neurológia,Nitriansky,Nitra
"SVaLZ, rádiológia, Nitra, (Diagnosticko-terapeutické centrum Largus, a.s.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-radiologia-nitra-diagnosticko-terapeuticke-centrum-largus-a.s.-4.html?page_id=143180, Rádiológia,Nitriansky,Nitra
"Ambulancia zubného lekárstva, Nitra, (MUZIKADENT s. r. o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/ambulancia-zubneho-lekarstva-nitra-muzikadent-s.-r.-o..html?page_id=143088, Zubné lekárstvo,Nitriansky,Nitra
"SVaLZ, fyzioterapia, Nitra, (Mgr. Lenka Skaličanová)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-fyzioterapia-nitra-mgr.-lenka-skalicanova.html?page_id=142717, Fyzioterapia,Nitriansky,Nitra
"Amália Peťovská Relax centrum-Lia, Nitra, (Mgr. Amália Peťovská)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/amalia-petovska-relax-centrum-lia-nitra-mgr.-amalia-petovska.html?page_id=142667, Fyzioterapia,Nitriansky,Nitra
"Všeobecná ambulancia pre dospelých, Nitra, (KR GP s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/vseobecna-ambulancia-pre-dospelych-nitra-kr-gp.html?page_id=142666, Všeobecné lekárstvo,Nitriansky,Nitra
"Dermatovenerologická ambulancia, Nitra, (JKderm s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/dermatovenerologicka-ambulancia-nitra-jkderm.html?page_id=142664, Dermatovenerológia,Nitriansky,Nitra
"SVaLZ, patologická anatómia, Nitra, (MEDIREX GROUP ACADEMY n.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/svalz-patologicka-anatomia-nitra-medirex-group-academy-n.o..html?page_id=142424, Patologická anatómia,Nitriansky,Nitra
"Oftalmologická ambulancia, Nitra, (OPTIKLINIK, s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/oftalmologicka-ambulancia-nitra-optiklinik.html?page_id=142388, Oftalmológia,Nitriansky,Nitra
"Neurologická ambulancia, Nitra, (Neurovesbra s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/neurologicka-ambulancia-nitra-neurovesbra.html?page_id=142313, Neurológia,Nitriansky,Nitra
"Všeobecná ambulancia pre dospelých, Nitra, (LESAMED s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/vseobecna-ambulancia-pre-dospelych-nitra-lesamed.html?page_id=142270, Všeobecné lekárstvo,Nitriansky,Nitra
"Ambulancia zubného lekárstva, Nitra, (IZ - Dent s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/ambulancia-zubneho-lekarstva-nitra-iz-dent.html?page_id=142129, Zubné lekárstvo,Nitriansky,Nitra
"Ambulancia zubného lekárstva, Nitra, (MUDr. Miroslava Hadzimová)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/ambulancia-zubneho-lekarstva-nitra-mudr.-miroslava-hadzimova-1.html?page_id=141870, Zubné lekárstvo,Nitriansky,Nitra
"Všeobecná ambulancia pre dospelých, Nitra, (JTK medical s.r.o.)",https://www.e-vuc.sk/nsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/nitra/vseobecna-ambulancia-pre-dospelych-nitra-jtk-medical.html?page_id=141484, Všeobecné lekárstvo,Nitriansky,Nitra
